datedim,ims_id,id_parent,id_path,tree_depth,tree,part_number,serial_number,location_name,original_ip_owner,current_ip_owner,operational_nomenclature,russian_name,english_name,barcode,quantity,width,height,length,diameter,calculated_volume,stwg_ovrrd_vol,children_volume,stwg_ovrrd_chldrn_vol,ovrrd_notes,volume_notes,expire_date,launch,type,hazard,state,status,is_container,is_moveable,system,subsystem,action_date,move_date,fill_status,category_id,category_name
9/12/2022 9:01,447248,365130,/0/215428/215452/215454/215578/365130/447248/,6,Storage Location,SEG48102042-901,J0644,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXJ0644J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:27,7/6/2022 15:03,,6,Food
9/12/2022 9:01,447249,365130,/0/215428/215452/215454/215578/365130/447249/,6,Storage Location,SEG48102042-901,C0104,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXC0104J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:27,7/6/2022 15:03,,6,Food
9/12/2022 9:01,447712,365130,/0/215428/215452/215454/215578/365130/447712/,6,Storage Location,SEG48102042-901,C0106,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXC0106J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:26,7/6/2022 15:03,,6,Food
9/12/2022 9:01,448230,381148,/0/215428/215452/215454/215578/381148/448230/,6,Storage Location,SEG48102042-901,Z0824,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXZ0824J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:58,7/6/2022 16:22,,6,Food
9/12/2022 9:01,448233,381148,/0/215428/215452/215454/215578/381148/448233/,6,Storage Location,SEG48102042-901,Z0832,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXZ0832J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:58,7/6/2022 16:22,,6,Food
9/12/2022 9:01,448234,381148,/0/215428/215452/215454/215578/381148/448234/,6,Storage Location,SEG48102042-901,Z0828,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXZ0828J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:58,7/6/2022 16:22,,6,Food
9/12/2022 9:01,448235,381148,/0/215428/215452/215454/215578/381148/448235/,6,Storage Location,SEG48102042-901,Z0826,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXZ0826J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:58,7/6/2022 16:22,,6,Food
9/12/2022 9:01,456411,381148,/0/215428/215452/215454/215578/381148/456411/,6,Storage Location,SEG48102042-901,Z0840,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXZ0840J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/25/2022 15:22,7/25/2022 15:22,,6,Food
9/12/2022 9:01,456436,381148,/0/215428/215452/215454/215578/381148/456436/,6,Storage Location,SEG48102042-901,Z0842,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXZ0842J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/25/2022 15:22,7/25/2022 15:22,,6,Food
9/12/2022 9:01,459523,381148,/0/215428/215452/215454/215578/381148/459523/,6,Storage Location,SEG48102042-901,Z0856,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXZ0856J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/25/2022 15:22,7/25/2022 15:22,,6,Food
9/12/2022 9:01,421652,407399,/0/215428/215452/215454/215578/407399/421652/,6,Storage Location,SEG48102042-901,H0726,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXH0726J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:52,7/6/2022 15:44,,6,Food
9/12/2022 9:01,421664,407399,/0/215428/215452/215454/215578/407399/421664/,6,Storage Location,SEG48102042-901,H0720,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXH0720J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:53,7/6/2022 15:44,,6,Food
9/12/2022 9:01,423251,407399,/0/215428/215452/215454/215578/407399/423251/,6,Storage Location,SEG48102042-901,H0728,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXH0728J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:53,7/6/2022 15:44,,6,Food
9/12/2022 9:01,423287,407399,/0/215428/215452/215454/215578/407399/423287/,6,Storage Location,SEG48102042-901,H0718,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXH0718J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:52,7/6/2022 15:44,,6,Food
9/12/2022 9:01,423295,407399,/0/215428/215452/215454/215578/407399/423295/,6,Storage Location,SEG48102042-901,H0722,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXH0722J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:52,7/6/2022 15:44,,6,Food
9/12/2022 9:01,447243,407399,/0/215428/215452/215454/215578/407399/447243/,6,Storage Location,SEG48102042-901,G0902,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXG0902J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:54,7/6/2022 15:44,,6,Food
9/12/2022 9:01,447246,407399,/0/215428/215452/215454/215578/407399/447246/,6,Storage Location,SEG48102042-901,Q0666,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXQ0666J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:54,7/6/2022 15:44,,6,Food
9/12/2022 9:01,447252,407399,/0/215428/215452/215454/215578/407399/447252/,6,Storage Location,SEG48102042-901,H0734,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXH0734J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:54,7/6/2022 15:44,,6,Food
